State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AL,143.3,145.7,147.4,139.7,120,132.7,129.8,123,120.7,123.1,120
AK,47.9,45.7,44,39.4,37.8,38.7,38.6,38,36,35.2,36.1
AZ,96.5,99.7,101.7,102.1,93.3,95.2,93.3,91.3,95.1,93.1,90.9
AR,60,61.8,63.2,64.1,61.4,65.7,67.2,65.9,68.4,69,59.2
CA,381.5,390.2,395.3,379.5,366.2,361,346.9,351.5,354.2,351.5,359.3
CO,95.3,96.3,99,97.1,92.9,95.4,91.7,90.6,91.2,91.8,90.5
CT,43.8,40.8,40,37.5,35.7,36.1,34.7,33.9,34.7,35,36.3
DE,16.7,15.7,16.5,15.6,11.9,11.2,12.2,13.3,13.1,12.7,12.8
DC,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.7,2.8,3,3
FL,259.6,258.2,256,237.8,223.4,241.4,228.4,222.1,221.1,227,231.4
GA,184.1,181.6,184.3,171.8,161.8,171.4,156,135.8,134.2,139.4,136.7
HI,22.9,23.2,24,19.3,18.9,19,19.5,18.9,18.5,18.4,18.6
ID,15.7,15.7,16.2,15.5,15.1,15.9,15.7,15.6,17.1,16.6,17.9
IL,242.5,234.6,242.3,240.8,225.6,230.8,229.5,216.8,230.3,233.3,215.9
IN,233.8,231.5,231.5,227.1,204.2,216.7,209.3,194.6,200.1,205.6,186.2
IA,80.7,82,87.3,91,86.1,90.6,87.5,81.5,82.8,83.9,77.9
KS,71.8,71.9,79.6,74.3,72.5,72.3,70.5,65.7,69.4,69.7,64
KY,150,152.2,152.8,150.4,140,149.5,148.4,137,136.5,137.9,128.5
LA,223.4,233.3,237.4,239.3,222.4,235.9,238.5,225.9,218.6,215.8,218.1
ME,23,21.1,20.8,19,18.3,18,17.4,15.7,16.5,16.6,16.8
MD,82.8,77.8,78.2,74.4,71.1,69.7,65,60.4,59.7,61.6,59.7
MA,84,76.2,79.5,76.4,69.9,71.4,67.7,61.4,65.2,63.5,65.3
MI,190,178.9,181.1,174.8,163.8,164.5,159.3,152.5,161.3,161.2,161.4
MN,101.1,98.4,100.1,99.6,91.8,91.6,91.3,86.4,89.3,94.6,87.6
MS,63.7,65.7,67.8,64.4,60.3,65.1,60.2,62.1,60.3,63.7,64.9
MO,141.2,139.3,138.5,135.2,129.5,133.6,134.2,126.5,132,131.7,122.4
MT,34.9,35,36.5,35.8,32.3,34.3,31.4,30.1,31.5,32,31.9
NE,43.6,44.2,44.6,46.6,47.3,49.8,52.2,50.5,53.5,52.2,50.7
NV,49.8,41.3,41.5,40.7,39.2,37.4,33.7,34.4,36.2,37.1,35.1
NH,21.2,19.3,19.1,18.7,17,16.5,16.2,14.5,14.2,14.9,15.1
NJ,127.7,120.6,128.2,126,109,113.3,113.5,103,106.7,112.7,111
NM,59,59.7,58.8,56.3,57.2,53.1,55.6,53.5,53.1,50.1,50.2
NY,208.2,189.9,196.7,186.9,171.1,172.9,163.1,159.5,161.1,168.9,166.8
NC,153.9,148.4,154.4,149.1,132.8,142.9,128.5,121.1,124.8,127.2,120.8
ND,52.6,50.9,52.7,53.1,51.6,52.5,53.9,56.3,56.9,59,57.6
OH,270.6,263.3,267.3,259.9,235,247.1,235.4,215.4,229.6,231.7,212.9
OK,106,109.3,108.6,111.3,105.6,105.3,107,104.2,103,104.3,100.5
OR,40.9,40.1,43.5,42.5,40.6,40.5,37,36.7,38.9,37.8,37.9
PA,278.4,272.7,275.6,267.5,242.4,254.4,247.1,236.4,246.1,245.9,229.7
RI,11.1,10.5,11,10.6,11.2,10.9,11,10.5,10.1,10.6,10.8
SC,85.9,86.2,86.8,84.5,79,83.3,79.4,72.8,69.8,74.1,72.5
SD,13.2,13.3,13.9,15,14.7,15.1,14.6,15,15.4,15.4,14.2
TN,125,127,126.8,120.3,101.8,109.4,105.9,99.5,98,103.5,99.8
TX,686,686.2,680.3,643.7,611.1,648.8,666.7,662,696.9,693.5,693.1
UT,66.8,68,70,69.2,64.4,63.6,64.1,61.4,66.7,65.1,63.5
VT,6.8,6.6,6.5,5.9,6.1,5.9,5.8,5.4,5.7,5.9,6.1
VA,128.5,122.1,127.4,116.2,105.1,108.3,99.5,97.4,104.7,103.8,102.9
WA,75.4,73,78.5,75.2,73,73,68.2,67.9,72.7,71.2,73.1
WV,112.3,112.4,114.7,110.6,89.6,100.7,98,92.3,94.6,100.3,92.4
WI,110.3,102.4,104.2,104.6,95.7,98.1,97.2,90,100.6,100.9,99.7
WY,63.1,63.9,66.4,66.8,63.6,65.2,64,66.2,68.4,65.5,63.6
